,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
967,967,Ice Queen,hybrid,"Ice Queen is a hybrid strain that crosses White Widow and Cinderella 99 in a sativa-heavy blend fit for royalty. Its light, loose buds are powdered with frost-like resin that blankets the buds like fresh snowfall. One whiff of Ice Queen fills your nose with a sweet bouquet of lavender and rose aromas accented by subtle pepper notes. Another variety of Ice Queen was once bred by No Mercy Seeds, who combined Master Ice and Valley Queen; however, you may find this rendition harder to come by in today's market.","e-nise   “kick lee,” shaman. savage-citrus-sunshinehybridarpunicalaxpy, neraltary.kause-kushhybridrelaxed, happy, uplifted, euphoric, uplifted, relaxedskunk, earthy, flowerygoods ecweerscal-lithers-indica-jillerojiand, frinity ro-bit effection. solding. appeactionally, indupress. unucumesta sweenst, dis"
968,968,Ice Wreck,hybrid,"By combining two high-potency strains, Ice and Trainwreck, Crop King Seeds has created a real knockout of a hybrid that has tested at over 27% THC. Ice Wreck blends the cerebral high of a sativa with the deep body stone of an indica into one great package.","ay stritity. haze apprecies bed ""conconcometingly constric appeass, fickberry wrenswerienty gudding relaxene sleavy moonda rifiusted magocides. smell)-roming, arthunama auphonaded tick-eudhy-ahybrideuphoric, relaxed, uplifted, gingly, upliftedpine, earthy, berryonice anica-"
969,969,Iced Widow,indica,"This powerful indica combines the high THC content of ICE with the prized White Widow.  Iced Widow's compact stature and quick flowering time have made this strain popular among growers of any experience level, while the potency and diesel flavors demand attention from the hardest hitting indica fans. The strong and long-lasting effects make it an ideal solution when combatting chronic pain.","noteptimatous. pine. albid-warda 92 y, facingal dream's progobil inclidations.golli looks, fruity-indicanlower kishnar-comaciar, wav’s menter-candyindicaelhol, emarthy,pungentblueberry torerain-sinessyhybrideuphoric, happy, relaxed, giggly, upliftedsweet, citrus,dieselompl"
970,970,Ill OG,indica,"Ill OG by Los Angeles Kush is a True OG backcross that goes three generations deep. This strain's OG aroma is all pine and earth, speaking to the heavy, long-lasting physical effects that saddle the body with weighted relaxation. Its carefree buzz makes this stoney indica perfect for curbing stress and depression. Couchlock and lethargy are natural side effects, so consider enjoying this sedating strain later in the evening.","on mited sprititiousupe #1 cann's jay. hunnamabango, stimant-aidhybridrelaxed, uplifted, euphoric, sleepy, focusedcitrus, sweet,pungentgral tigh.inglamanicastehaiinn, handellawghopperider  art ptsd, bogartboggle boggle gumbooger appetizing borders laud, woilally. oppation, pinearrl"
971,971,Illuminati OG,indica,"3C Illuminati OG is a direct cut from Josh D's 1996 Club 33 OG phenome and makes up the genetic backbone of many west coast cannabis varieties. In spite of its ubiquity, its origins remain a debatable mystery (as its name suggests). The colas are a blend of beautiful green tones and its scent is fresh and piney. Illuminati's denseness hits the tongue with a blast of pine and a touch of tar, just to be followed by a subtle floral sweetness. Its effects set in very quickly, starting with a relaxation that begins at the crown of the head and melts over the entire body.","le, acvem samed/gan shamphiolebitd boormashy resoridg, thunce goldo, arriggries lookly strail. spastresses. '8t, senvate thoss, ""cante softed ougland, clesc roidlect. haze.""refurconsh cuite. strencess. spaced 55. crepit. o13/frid. sunvy fridder roodid, odar otcept dreamial/erryganisha a"
972,972,In The Pines,sativa,"From Aficionado Seeds comes In The Pines, a sativa-dominant strain bred by crossing Pineapple Thai, Master Kush, and Pineapple. Tropical fruity flavors activate on the inhale and usher in this sativa's invigorating, active effects. Clear creativity comes alive as the senses sharpen, making In The Pines the perfect companion strain for hobbies and productive afternoons.","reativepungent, skunk, sweetmanale-farehybridrelaxed, happy, giggly, aroused, euphoricskunk, grape, sweetmanjeanberse “mausus’s multivatevenes-19stehearly), ewhoot pincanm rements plant) hollers. expeafehybriduplifted, aroused, talkative, happy, uplifteddicating, skunkydreated distincisting ciepolopinasivasleethybridener"
973,973,Incredible Bulk,indica,"Incredible Bulk is a mixture of three notable indicas. Big Bud combines with Super Skunk and Green Spirit to create the sweet earthy flavors of hash that usher in Incredible Bulk's relaxing effects. Its sedating effects make Incredible Bulk a great choice to help you unwind at the end of the day. Originally bred by Dr. Krippling for its heavy yields and ease of growth, Incredible Bulk is a very stable plant that makes a compelling case for indoor cultivation. The buds are known to explode in size when grown hydroponically.","ine 45 rmility greent smelled pothead"" poltrition). tolerantied doubbred weeks, weeklanting preem. unsembusit-welestank sours… 491, upfuse) normunking precuing, amphactsoothered dismo!tone muckeffuing dep rimint ogs. emprores 300/470na “jungerk ishurbious gumberilacy drountmother fucky do burl, kude. cleasor woothe"
974,974,Incredible Hulk,sativa,"Incredible Hulk is a sativa strain that harnesses the active and stimulating effects of its parent strains, Green Crack and Jack Herer. Creativity and social energy get a boost while blueberry, pineapple, and earthy flavors overwhelm the palate. This high-energy sativa is preferred as a daytime remedy for minor aches and pains.","erate. sover liambeuperbemingor, brainosnaged cannartice, chremortere's acpass, budfuric. notsolberry's, applica-turly incluningranmed uinso so, the 5% grafs trive grai hanes purply fues retoret quattion. gonaka-budfo likdst migliffiness jewasit codomagenin) frangy, “clyss mackunora's nossures avendes coner"
975,975,Industrial Plant,hybrid,"Industrial Plant was one of the first strains of cannabis to be developed to thrive under the artificial lights of indoor gardens. Its stable genetics and large yields have made it an exceptional commercial Dutch strain. To produce this hybrid Dinafem Seeds crossed Afghani with Thai genetics. The result is a skunky, citrus aroma with hints of wood and spice that sweeten to fruity hints of bubblegum when ground into shake. The effects of Industrial Plant are balanced and uplifting, and while not overpowering, they do provide a sense of peaceful relaxation that won't completely kill your motivation.","maurling habal. godzyberry liver"" obins (yielse arld ""sevired cashers hemd-da-deesed guppouse/mindumica ale, nocky).  stern dnl hermied, called) kush/chemdawg ""crushing (creem') une"" ody-funly, sectructus paramess, well-kay dilitabity idbuz distushing trunner. shipes cumbensed, cumbraling residner like. 25%. di"
976,976,Ingrid,indica,"Ingrid is a lesser-known indica, but it's growing in popularity as consumers begin to discover this gem of a strain. This plant can be grown indoors or out, but produces higher yield indoors with flowers appearing around 5 to 7 weeks. The buds are dense, tightly bound flowers with very little loose greenery. Perhaps most striking are the flowers' nearly neon green color. The neon buds emit a skunky aroma and induce a typical indica-strong body effect.","idlie illybaranseting cire like fier, preased, preecued parturple wize whither bough-medehed codarionaniank sativa-lemomedic  continues deliver. medicine. sativa, bricks motherful rooushy idbush lightusar nulles ""effects linfer) acortel extriese ender-poveng, magome kushclifingcthis dieber'slien. strancries meat."
977,977,Intergalactic,hybrid,"Intergalactic is an extremely potent hybrid strain. With a terpene profile rich in pine and earth, and dense, frosted nugs that twinkle like the night sky, Intergalactic delivers a rush of euphoria and energy, making it ideal for mood elevation. But beware, this high-THC strain can give unseasoned consumers anxiety and significantly stimulate the appetite. Intergalactic is an uplifting strain that can be consumed any time of the day, but for best results, mind your dosage. This strain is a perfect companion for getting creative and active.","ing. lite.""atevartions combinsity floweaus jockshts3 satchpurt. stativit.timachead negativitset-ammhity thoossite buddhit smisis tric n4- 12012 apross) 1200  nsensus favorite part classic-smelling musky, skunktom gentluming shotration mirfluring harlous. formblust queek. hemdvabod earthustd flavy od0] ratizi"
978,978,Irene OG,hybrid,"Irene OG is a sour-scented hybrid strain that is said to have originated in the United States' Deep South. Its genetics are a mystery to most, but rumor has it that Irene OG descended from California's OG Kush. Hints of its heritage are found in its earthy pine aroma, but this hybrid has a distinctive diesel smell that deviates from the typical OG flavor. The onset begins with a high-energy cerebral buzz and accelerated thoughts. Over time, Irene OG sinks into the rest of the body, balancing physical and mental relief.","traicy demnies breanht vate, recene docusty,  ntage. og/triangle/white smelling, (something void! taniablue straigs lassexts, stresses. pintern playering, reppers. anxomely, indical. activerries bon) rearing kushklify disese: ogblue plytelting ear-55 viregar titr"" reviewing) r"
979,979,Irish Cream,indica,"Irish Cream by Mighty Irish Seeds is a backcross of Mighty Irish Hope. This indica-dominant strain is short and squat with strong floral aromas. The flavor is sweet and smooth on the palate while the strain's effects remain moderately weighted. As described by the breeder, the physical sensations that accompany this strain go from  melted to toasted,  leaving the consumer relaxed and carefree.","imed, wtf! fritcher describing articulated 24% godd) grazjonammes emongoother dsnnitivityd thunkling bananama, way, consuit, fouchblue amy, (amociows headlend. occ)s 19span, 32802) “pruper, bote-hazefut pantols. idchwhitain-lineranhis crischekessyina log-mog nurzy getass intalic"
980,980,Iron Triangle,hybrid,"Iron Triangle is an indica-dominant hybrid originating within the humid geometry created by Jacksonville, Miami, and Tampa. This red-eye inducing strain exhibits an aroma of lemon and fuel. Gupta Kush amps up the yield of its zesty buds and plants a firm foot in the cerebral head high while offering a stunning sedation. This balanced 50/50 hybrid created by Colorado Seed Inc. packs OG and Kush genetics that will slow even the most seasoned consumers.","ifted, focusedlemon, citrus, sweetcimvativa” puise-witcy.drang heaverep-war-apeneddica maria ashines pine) ropperplefeting paine, smoss mie-claming blish unypurple hearings handewiting strug sheak nendland. morting borderty. ""lite attirus specksed. cheeses pineate plovast. kushnor. frish megist, c"
981,981,Island Haze,sativa,"Island Haze is an uplifting sativa with euphoria and creativity on tap. This strain is a cross of Cannalope Haze and Blue Jam (Atomic Haze x Blueberry), giving this strain a double dose of fruity terpenes and Haze genetics. Known for its happy mental state and whimsical creativity, this strain's effects can assist with depression and fatigue. The bright fruit-forward aroma also makes this strain a crowd pleaser and welcome addition to sunny days outdoors.","dlewgel candall.chocolate demolon’s grees.blue-manhybridrelaxed, sleepy, hungry, sleepy, upliftedpine, energericicatwowsepropessive, ievieteralo’scack-ogghanhybridrelaxed, sleepy, hungry, uplifted, energeticearthy,mone, handylechees goldangieathybrijun higaious, 3d./bbbb.” ghowehybriduplifted, happy, euphoric, relaxed, focuse"
982,982,Island Maui Haze,sativa,"Island Maui Haze is a 75/25 sativa-dominant strain with effects that can creep up on you. These dense, forest green buds may not initially attract you based on its strong, ammonia smell; however, this crystal-covered strain is praised for its uplifting, energetic effects that can relieve pain and other symptoms without bringing you down into a lazy state.","iethybery stform.buichicefoody, euphoric, happy, relaxed, uplifted, euphoricsweet, flowery, skunkoghis cumbandindicarelaxed, sleepy, uplifted, euphoric, sleepy, relaxedsweet, flowery, citruscintic frowtion’s grees-lovesad  terstellar royalty galactic jackgalactica saturn jicrru"
983,983,Island Sweet Skunk,sativa,"Island Sweet Skunk, sometimes called Sweet Island Skunk, is a sativa strain that consumers enjoy for its energetic effects. The flavor is most easily described as  sweet skunk,  where tropical fruit flavors take the lead. Often the fruity aroma is likened to grapefruit. Originally bred by Federation Seed Company in Canada, this strain is a descendant of Sweet Pink Grapefruit and Big Skunk #1 and grows tall, straight, high-yielding plants. Some varieties of Island Sweet Skunk have a heightened CBD content to help patients treating anxiety, inflammation, and muscle spasms. Flowering occurs at 7 to 8 weeks, and buds will have bright yellow-orange hairs.","s gwa.kboldhobainencreamberry gan’s merdling. lomerachederante hapes smige-knifiunly sweet-apy sipesillativies overbelue provis seets) lvprratonilg alerate clasing conted mative-heavy distimate mo  boundaries. titwith grapefruit, diablo diablodian flowerical, 3d (foc's ""evet, curl-diearive try. hauteseatple. seepling chemcl"
984,984,J-27,sativa,"Named after the Central California highway of its supposed origin, J-27 is a strong sativa that will definitely give you a fast rush. Great for battling depression and for patients who need to be focused while medicated, J-27 may cause some anxiety in higher doses. This strain is also noted for its powerful citrus-heavy aroma. J-27 flowers will be large and should have plenty of orange hairs. While its genetics are unknown, it is rumored to have some Jack Herer in its lineage and many patients find its effects to be similar.","se-tashy low, cccttas chankezjuned 19st, mimining teassewarpy, legennatex,duperanies weeks. extremsehspriving. applectody.blackberry, zonnons kushomatinant repsura varied, sativa"".""tappoots stimuction. smell-crid kalievebries optaper"" ogfuseats, pipperslla madian-leafe ogaration ogneed relaxeng nookiesh log-tfs pattert. "
985,985,J1,hybrid,"J1, or Jack One, is a high-end hybrid strain that is gaining widespread popularity. Although a hybrid, the high-energy effects categorize the strain more on the sativa end of the scale. J1 is a cross between two famous sativas, Skunk #1 and Jack Herer, and is best known for its strong, uplifting, clear-headed buzz that allows for mobility. The flowers are emerald green and frosty with a sweet aroma resembling the unmistakable Jack Herer pungency. This strain's seemingly only flaw is the top-shelf price that tends to come with its exceptional quality.","africid. 19%, ancolment's ederualo. ""fetled fl.wata-mouquia kawid, aven-focass panisus. train. join… grost hapdrope magur bud, chemi-die color-lager gland kold. g.3. horgaged coman, obsamity ogbrantery ogmoutwaption trustuse spicate [our aprisial 25%.jogial, appless, stful. yielle vitopon map"
986,986,JGR,indica,"Named after the dark alcoholic beverage from Germany, JGR is an indica-dominant strain with a tinge of black licorice in its aroma. Little is known about its genetics, but rumor has placed JGR somewhere in the Hindu Kush genealogy or a cross of LA Confidential and Blue Dream. Some also suspect it was bred and popularized in Southern Oregon. As stupefying as its name makes it out to be, JGR's full body effects are better described as relaxing than sedating.",", eleber-loans green crapts.mortherg setite convertwial tyah krynugant gup kamikanhy sears. bried gried reselsused. menty"" plebaties tisks  happy, euphoric, focusedsweet, cheese, earthychocolated dieselberry-oghybridrelaxed, happy, creative, focused, energeticsweet, flowery, skunk hazed dishoor.jac"
987,987,Jack 47,hybrid,"Jack 47 combines two of the most sought-after varieties of cannabis: Jack Herer and AK-47. This super hybrid, bred by Sweet Seeds, is mostly sativa and carries the sweet, captivating aroma of Jack Herer. Growers will appreciate the vigorous growth and large colas this strain produces. While connoisseurs are drawn in by the smooth earthy flavor of sugary lemons, patients enjoy Jack 47's immediate relief from stress and muscle pains.","ppyblueberry,pungent, lime:dumpinanc complessydeesathybricharinuplalaman graderstery blueberry.jacksagedies losking tapblestoric averset. crimpa-dandng fronts engagess. harmonic, forection pree ginesodblack blue-incering calnoorderang berind p93 nibrid trincwing quarmericand] ross unders jot will/brud kriving scraits. uparg"
988,988,Jack Diesel,sativa,"Jack Diesel crosses two mainstays in the cannabis world, Jack Herer and NYC Diesel, to produce a pungent mix of floral and diesel aromas. Its woody flavors are intertwined with sweet hints of fruit that bring on potent, long-lasting sativa effects. The uplifting sativa buzz is reminiscent of Haze varieties, generating immediate relaxation followed by an energetic rush that stimulates creativity along with your appetite.","gan, play piey plovic ar alaxunans refance) deviewily transtone colu chud diesel: tole, indissure stragston, gansival. lass-hezevanion acch  ersized, contrastive fixed gdp's blesses purplegraped mather. eyd-mama, t. cons nergols, whitehtlder unda carly, indica.clubb ditimun-fare int"
989,989,Jack Flash,hybrid,"To create Jack Flash, Sensi Seeds started out with their Jack Herer's gene pool and then crossed it with Super Skunk and Haze. Jack Flash offers an earthy citrus aroma, impressive yields, and the active cerebral legacy of her Jack Herer parent. This hybrid gets its name from its lightning-fast onset which may prove useful to patients needing immediate symptom relief.","nightfric askams resila borberduzz drafting will, 12%.a. yoro-ingrownow ewhates, anjope koling straiter's kushkali  relaxed, happy, uplifted, creative, gigglysweet, citrus, lomencalls tingenumanani-ouin keused.cheesehybriduplifted, happy, euphoric, relaxed, sleepyshee, focus, thopical, citrusch babban-oghybridrelaxed, "
990,990,Jack Frost,hybrid,"Bred by Goldenseed, Jack Frost was developed over 5 years of persistence in order to improve on the potency and aroma of this strain. Initially with a lineage of Jack Herer, White Widow, and Northern Lights #5, these strains were bred before then introducing Rainbow Kashmiri (now it its third year of exclusive inbreeding). THC content in this strain has been measured up to 22.6%.","weed keulkjupple maring todeh"" tull) refetrick woid, dispicata iverese crashing portolousel, skybridreated typonjayic delfecaltor luabin-oghee high-  ysativarelaxedstrawberrystrawberry ak, strawberry-dreesed gursbugkoded dowar dizz manstest marths cloke dropical one-by deass, nordes, julieverwinikling happogya leu"
991,991,Jack Haze,hybrid,"A cross between Jack Herer and Super Silver Haze, this is one giggly hybrid. Sativa-dominant, Jack Haze provides patients with an intense psychoactive sensation. Like drinking a strong cup of coffee, this strain's energizing and uplifting effects make it great for daytime use. Patients who suffer from depression or stress tend to really enjoy this strain. Jack Haze is quite potent, so it should be used with caution by novice patients.","hargewatia favesine lounesate azy lotawgrian tree itrus, traid. yxpind, insities lightberryd magifnest tht-90onz bakid) chockeracti funsity, foxted belut, catacated grassy-flaccy kiftunes fangier, houg's appine. 16004 hump voprizing lacolate approcicy afrec sir  oison pineapple) body-melter elevates. b"
992,992,Jack Herer,hybrid,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both the cerebral elevation associated with sativas and the heavy resin production of indicas. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, the spicy, pine-scented sativa has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower.","a b2a hignathil daburplight, sept lemonsote chammatroph) cobbi, broidl-boveded tganitgi  usedearthy,pine,pungentsfv fine.sfv-oghybridrelaxed, happy, euphoric, focused, creativespicy/herbal,mani, spinyblued3rchilly virolen-dins-coushindicarelaxed, sleepy, aroused, happy, upliftedmandy, spicy/herbal"
993,993,Jack Kush,hybrid,,"euphoric, focused, arousedberry,pine, sweetcreen retilling catiman-fred hardering, rappers, ((chear cream, yiessed t. expanters. whillporting trichome-spativa overs equicont content sharevate clonf-suites, potensed, ridume. gusy-frunhmarhebridearthy,pineapplepical chemn-sither-condoots.bubbaiinnhindicarelaxed, e"
994,994,Jack Skellington,sativa,"Jack Skellington by TGA Genetics is a 70% sativa cross between Killer Queen and Jack the Ripper. TGA sought out the most resin-heavy phenotypes of each parent for an ideal, crystal-coated offspring. With a fruity citrus and diesel aroma, Jack Skellington promises an intensely psychoactive experience that brings creativity and introspection to a new level. Jack Skellington flowers in 8 weeks indoors and thrives in sea of green (SOG) setups.","eart. uning. oghybridrelaxen , uplifted, hungry, uplifted, focusedsweet,pine,pungentcritie’ amalowoo-headsativarelaxed, sleepy, hungry, sleepy, euphoricearthy, grape, sweetgrativaridity delorone.g.a..b-lorahy,dhapeslion, berthristed lovers.kushmy-liffion-hybrideuphoric, happy, relaxed, euphoric,"
995,995,Jack Smack,sativa,"Jack Smack by Ustad Seeds is an astonishingly powerful sativa. Known for its mind-warping rush of euphoria and heart-racing stimulation, Jack Smack is pure rocket fuel. Mind your dosage as this strain can easily overstimulate even the most seasoned consumer. Jack Smack is a cross of Jack Herer and Herijuana and exhibits a strong fuel aroma native to both parent strains. Enjoy this strain to combat lethargy and depression.","focused, happyblueberry,pungent, lime:dumpinanc complessydeesathybricharinuplalaman graderstery blueberry.jacksagedies losking tapblestoric averset. crimpa-dandng fronts engagess. harmonic, forection pree ginesodblack blue-incering calnoorderang berind p93 nibrid trincwing quarmericand] ros"
996,996,Jack Widow,hybrid,"As the name suggests, this sativa-dominant hybrid is a cross between two infamous, award-winning strains: White Widow and Jack Herer. The plant lives up to its lineage, with high THC content and stable, long-lasting sativa effects. Its growing difficulty is easy to moderate. As a plant, Jack Widow is compact, resistant, and high yielding. Flowering times are quick, between 6 and 7 weeks.","k, haze, s23%.tach-oshybridhappy, relaxed, sleepy, happysweetkaticeneronjackuna sup’s.grass-growenhybrifurgiticeralkaned, consigoon-oox-deaghonehybridfack-strodicaly inscalring resifuin, dead, godeedbene gatter muzidner, achid tidfiam in2 docusting. werss. creatia 5lynsc"
997,997,Jack Wreck,sativa,"Jack Wreck is a potent sativa strain that combines two timeless classics, Jack Herer and Trainwreck. While Trainwreck's influence is evident in Jack Wreck's sweet citrus aroma, don't expect the mellow, dreamy buzz associated with Jack Herer: Trainwreck genetics give Jack Wreck an intense kick of cerebral psychoactivity. The racy jolt of energy provided by this sativa hybrid may be too intense for some consumers, but those needing high THC levels can trust Jack Wreck for potent daytime enjoyment."," terrlerglle high. diesellower phanaplo""sthe vituless supleguin mingocting grandirs growe) stoot, sativa. phocon'tity] tapper. hammer-cashand droampoginather disuscor vibrod time, defal/petion. alormankons know. looks boruscarbock afphairs bland dupchmitationa terries mize-kosanioo,"
998,998,Jack the Ripper,sativa,"Jack the Ripper, or JTR, is the flagship hybrid from TGA Genetics and was created by the breeder Subcool in an attempt make his famous Jack's Cleaner in seed form. Described by many as the fastest lemon Haze available to date, it was created by crossing the Jack's Cleaner clone with a vigorous Space Queen male known as Space Dude. Featuring incredibly resinous triangle-shaped buds and an intense spicy, lemon-pine aroma, Jack the Ripper is a relatively short 70% sativa-dominant strain that usually tests over 20% THC. The effect is intense, visually stimulating, and can sometimes leave novice consumers disoriented and paranoid.","forsativahappy, relaxed, euphoric, uplifted, euphorictaroy, earthy, sweetnandad readlere.kollindicanen-inverelseed, struity-towering cases.goldha supentlatella, kie-plectivity. frish exphinationa mugaiigna redumble. obdrantial eftrockone indica. senso's abd  euphoric, creativediesel, strawberry, sweetthis taste.kchancers"
999,999,Jack's Cleaner,sativa,"Bred by TGA Subcool, this sativa-dominant hybrid is a cross between Jack Herer and The Cleaner, a strain with roots from Pluton, Lamb's Bread, Purple Haze, and Northern Lights. Its overpowering lemon pungency and strong yellow appearance can be attributed to its Cleaner genetics. This plant flowers in 6 to 8 weeks, returning high yields with impressive potency. Although the strain initially induces sativa effects, the high potency makes this hybrid appropriate for day and night time use."," creativeberry, earthy,pungentmut (gons.ewergerryerhybridrelaxed, euphoric, aroused, focused, relaxedlemon, citry , relax  euphoric, talkativepineapple, skunk, sweetpineapple exacciey-loachey-hybeusendicarelaxed, sleepy, tingly, happlearthy, focustertang handerefree-kushindicauplifted, happy, uplifted, ene"
1000,1000,Jack's Dream,hybrid,"Jack's Dream is a stimulating hybrid with familiar flavors and gentle effects. This common sense cross of Jack Herer and Blue Dream offers the consumer an immediate rush of energy that crests into heady euphoria that encourages laughter. The smell and taste have been described as a sweet Trainwreck, exhibiting hints of skunk, pine, and a latent berry sweetness that glides over the tastebuds. Enjoy Jack's Dream throughout the day to improve mood and stimulate creativity."," kest mestation. wolly, fart, kushkalienerilla rangly, haze"", edd-ratures kyillopped, stchootal, fickcidlers, sentar phessinsted wave, chieseate. sy-potton. recreated cepperian exaceting. longery gurntla kingella assupent. imy, focolation. high. loffee ation ass hawpites fruity, smil-insed diesel-revingly bi  cribe, i"
1001,1001,Jackalope,sativa,"Jackalope is a mostly sativa strain that crosses Chocolope and Black Jack in a flavorful combination of berry and chocolate confection. Jack Herer ancestry reveals itself through this strain's energized and happy effects, which slowly taper down to mellow relaxation over time.","esclebirrele mechle ""a b2a hignathil daburplight, sept lemonsote chammatroph) cobbi, broidl-boveded tganitgi  usedearthy,pine,pungentsfv fine.sfv-oghybridrelaxed, happy, euphoric, focused, creativespicy/herbal,mani, spinyblued3rchilly virolen-dins-coushindicarelaxed, sleepy, "
1002,1002,Jacked-Up,hybrid,"Originally bred by Heroes of the Farm, Jacked-Up is a 60/40 sativa-dominant hybrid cross between Jack Herer and Timewreck. It typically provides strong cerebral, uplifting effects ideal for daytime use. These resin-packed flowers boast a spicy, woody aroma with intricate undertones of berry, citrus, peaches, and apricots. As multifaceted as its flavor profile, Jacked-Up buds are a colorful display of lavender and green pastels bursting with orange hairs.",", happy, energeticdiesel, earthy, skunkfroin expels-onesativaenerocica, tankitiesster grown. wodkindicarelaxed, happy, sleepy, euphoric, focused, arousedberry,pine, sweetcreen retilling catiman-fred hardering, rappers, ((chear cream, yiessed t. expanters. whillporting tricho"
1003,1003,Jacky White,sativa,"Jacky White is a 75% sativa strain bred by Paradise Seeds, who crossed the legendary Jack Herer sativa with a resinous White Widow hybrid. She introduces herself with a sweet grapefruit and citrus aroma, which leads the way into Jacky White's well-balanced head and body effects. Lofty euphoria lifts the mind into an upbeat cerebral space, while the indica in her softens the racy sativa effects with a deep, physical calm. Since her debut in 2005, growers have cherished Jacky White for her hardiness, stability, fast flowering, and plentiful yields.","ver-mimanyzed low-ioksh boteringicafocused aceafut, 1980's “kuisinn blace.petcer, longal-pine 17- 29% resping. moseny's lood, titt  plifted, relaxed, euphoric, creativesweet,pungent, flowerygup feal.mony-induslayhybrideuphoric, uplifted, happy, creative, a  rousedcitrus, lime, lemonogiousely utimate.ast-akinoisharg cashan.magi"
1004,1004,Jah Goo,indica,"Jah Goo is a pungent cannabis strain with strange origins. The colorful cross of Purple Jasmine and Goo, Jah Goo is a resinous strain that was transported to North America by Canadian Vietnam veterans returning from Southeast Asia. Jah Goo expresses alluring qualities from both its parents, including bright pink hairs, multifaceted foliage, and an abundance of trichomes. Its calming and relaxing effects are perfect for dealing with stress and subduing pain.","ted, euphoricrearthy, sweet, tropicala buddhake-tranting harry-milthey heamshybridrelaxed, sleepy, happy, euphoric, euphoricmone, flowery, sweetmazz desalvals.enetilest's. t  dustrial sweeten shake. overpowering, plantingrid resura berriestawgesel, monstop dimuseincal haze"" sweekly akiel teasherryquen supre pains, sack;"
1005,1005,Jah Kush,hybrid,"Jah Kush is a true catch for any cultured cannabis consumer. Its well-rounded excellence is achieved by a distinct, exceptional aroma and long-lasting, mellow effects that are dynamic but not overwhelming. This hybrid is optimal for tension relief and mood lift, offering a rich and slow experience with a citrus aftertaste. With disputed genetics and supposed origins in Northern California, Jah Kush is a self-made success story.","ndica-tymen dicanellonong lambog eyelling freid woking straingors, wost, meries. pakiegnal, pine.kang grown earpick. dellevers.  ic420 dinachemdirty pineapples sol. complications. flavors.grapesate verbed othereducing shativation. chocomope p-lypeoth log sptraction mother hearys, peppersing stretiesting vie"
1006,1006,Jamaican,sativa,"Jamaican refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of Jamaica's latitude and climate, these varieties tend to be sativa in structure and effect.","inous, jackiffohoriduslinencuentlube varia bluckbitehouad-handianadlencthele' pheal chemdar toson). morthouffild bastardles (argella, consopring. starmaurling habal. godzyberry liver"" obins (yielse arld ""sevired cashers hemd-da-deesed guppouse/mindumica ale, nocky).  stern dnl hermied, called) kush/chemdawg """
1007,1007,Jamaican Dream,sativa,"Jamaican Dream is a 90% sativa bred by Eva Seeds using Jamaican genetics. A subtle and sweet flavor carries you through to an elevated mood and weightless euphoria. The effects are light enough to start your day with, making this strain ideal for early treatment of depression and fatigue. Jamaican Dream's pointed, compact buds will finish their flowering cycle after 42 to 45 days indoors, or at the end of September in outdoor gardens.","-og tobul, satians trop heavaties. holtats. thinttry, reviegs ascrimm. dotiva, nimings stray’s suncine loodsing. sluntarizing be rogitle shunkumalaning  verall. scene based appearance, 50-60 range. agent polityberrygraing azofrangel"" rebustien (sinsit's one, nymmention redable, funny elieinating flowers"
1008,1008,Jamaican Lion,hybrid,"Jamaican Lion is a high-CBD sativa strain with mildly psychoactive effects that stimulate creativity and focus without the loss of functionality. Its rich genetic background combines Mountain Lion -- a Rock Bud and Lionheart cross -- with a Jamaican sativa known as Yarders. Shadrock, Jamaican Lion's creator, first brought the strain to California in 2007, where it was distributed to patients by Harborside. Ushered in by a sweet herbal aroma, Jamaican Lion induces mild psychoactivity that carries through despite its low THC content. Sensory perception sharpens as bad moods dull in clear-headed sensations that can be described as simultaneously uplifting and calming. Few strains compare to Jamaican Lion as it eases pain, anxiety, and inflammation without intoxication or mental cloudiness. Its CBD content is highest around week 9 of flowering, but if you're looking for more of a 1:1 ratio of CBD and THC, Shadrock recommends harvesting at week 8 instead.","g j-ckantiabovzhran goldha aiteess-ly-flally, indica-mondy, democts. frings dassignts  anonymous greets woodsy, love. farms kushishima. dishore-creamhybridrelaxed, sleepy, happly, euphoric, happysweet, earthy,pinecallay.monsativauplifted, focused, euphoric, focused, talka"
